rank,Gene ID,Gene Symbol,Specie,Score,--->,Publication ID (ordered by date)
1,6850,SYK,Homo sapiens,190.54205279362,--->,29235464,28957395,28919467,28877763,28786489,28767218,28468967,28336564,28131718,28082678,27510553,27461624,27365531,27338330,27293079,26980390,26910509,26889814,26884848,26404525,26315286,26251216,26212014,26096845,26032420,25974135,25921550,25896065,25748087,25612940,25543269,25331948,25287946,25287889,25257535,25251945,25202827,25160932,25156507,24795896,24779514,24700868,24610702,24569110,24564859,24555683,24547708,24525236,24499258,24477596,24376268,24313320,24286216,24275652,24013589,23994797,23960082,23917087,23861534,23803121,23803069,23764004,23480133,23396946,23396081,23299888,23293025,23242981,23071339,22956578,22864779,22776094,22707146,22659134,22585575,22541243,22384232,22354960,22321643,22287277,22219190,22031919,21981270,21953500,21822214,21807898,21730355,21642504,21552259,21482705,21469132,21468383,21378271,21334257,21086786,20563729,20467426,20439541,20401456,20013945,19581935,19553680,19549911,19530990,19421152,19195024,19018007,18803050,18715866,18485118,18052078,18006696,17874182,17130299,16849645,16322234,16288017,15956283,15955106,15701717,15507431,15337524,15188513,15143214,15059510,12907655,10872802,9891087,9695951,8163536,7831290,3472906,3350007,3198621,1569106,
2,107126361,CD2-LCR,Homo sapiens,26.554274439869,--->,17878403,12642875,11581313,11562481,11441076,11441075,10414455,9614551,8895561,8406619,8312224,8281031,8095799,7964486,7926766,7919383,7836739,7514728,7494270,2901953,1685144,1682894,
3,55576,STAB2,Homo sapiens,14.30532400744,--->,25446080,18539600,18519035,18434317,18387958,17145755,15208308,12626425,12077138,11829752,
4,10673,TNFSF13B,Homo sapiens,12.633660574247,--->,28844943,28039405,24809296,24800836,22898048,20089415,19005881,18687360,18625509,17942754,17499850,16547227,16301744,12865416,12115621,11509691,10973284,10347144,10331498,
5,64581,CLEC7A,Homo sapiens,10.966835706532,--->,28335387,26739065,26123355,25267792,25251945,24440830,21296999,19358895,16341139,15956283,10779524,
6,3717,JAK2,Homo sapiens,9.3773082310709,--->,27831681,27288519,26214121,24920845,24907356,24480985,23129323,22262778,22065597,21798133,21127060,20888389,20631743,20499034,20472827,19951533,19887489,19880761,19604233,19327411,17712047,17707884,17643100,17625606,17379742,16804112,10872802,9618263,9446644,
7,109580095,HBB-LCR,Homo sapiens,8.4694472897188,--->,28434866,17622240,17496141,17056066,16537808,15198957,12861010,12667989,12411297,12391330,11601018,10699186,10534403,10389593,10082573,7520781,1915288,1465455,1438257,
8,2495,FTH1,Homo sapiens,7.8851425703333,--->,23611361,19539693,14998975,6653779,6589621,6323167,3858810,3857215,3840162,659425,
9,6688,SPI1,Homo sapiens,7.8790007700884,--->,28586009,22083997,19502584,8632909,8626664,8434021,8219191,7594592,7478579,2338340,2180582,
10,3195,TLX1,Homo sapiens,7.2410808650578,--->,18283632,17713543,16357834,9778044,9009195,7555717,
11,5966,REL,Homo sapiens,6.5930974088808,--->,19948376,18695674,16319921,14534540,12588973,10329626,9315679,7933095,7886940,
12,3600,IL15,Homo sapiens,6.5756471713859,--->,27097762,26625316,26136429,25907558,24361466,23637340,22447977,22084435,15976176,15536127,12598649,12453470,12391205,
13,2512,FTL,Homo sapiens,6.4880511903637,--->,28202724,17459943,16790936,9119260,6653779,3858810,3857215,3840162,659425,
14,7535,ZAP70,Homo sapiens,5.9542969873906,--->,28767218,27384937,25287889,24164480,23293025,19018007,15800671,15143214,14985102,9169414,7630421,
15,8115,TCL1A,Homo sapiens,5.4250101894893,--->,26090867,23608884,22001392,20357824,12381789,9738977,
16,4050,LTB,Homo sapiens,4.9953308082634,--->,15034048,12474234,9317127,8824804,8586432,
17,29760,BLNK,Homo sapiens,4.8151936932052,--->,25140054,21822214,21482705,12761551,12093870,
18,53637,S1PR5,Homo sapiens,4.767660399335,--->,12427546,12234605,11705398,10799507,
19,2629,GBA,Homo sapiens,4.68215849192,--->,22167193,20301446,20148966,18562733,18338393,17996473,16861620,9851895,8889578,1594045,
20,3988,LIPA,Homo sapiens,4.6821093693649,--->,28881270,26225414,26212911,21900179,12162818,
21,5777,PTPN6,Homo sapiens,4.6132536089314,--->,20933011,17947393,15339845,11278955,11171044,11162587,9740800,8760799,8632004,7539038,
22,83417,FCRL4,Homo sapiens,4.6043436665107,--->,22716304,16849395,16079106,12881317,
23,1794,DOCK2,Homo sapiens,4.3571545172639,--->,27504608,25076492,17015707,11518968,10559471,
